"data.hostItem.author";"data.hostItem.title";"data.hostItem.keywords";"data.hostItem.subject"
"Pavinis, Johannes Franciscus de";"Oratio in laudem Leopoldi Marchionis Austriae";"Celebratory works; current affairs";"Rhetoric"
"Petrus Comestor";"Historia scholastica";"Commentary; Education; Bible";"Theology"
"Petrus Comestor";"Historia scholastica";"Commentary; Bible; Education";"Theology"
"Petrus Comestor";"Historia scholastica";"Bible; Education; Commentary";"Theology"
"Petrus Lombardus";"Glossa in Epistolas Pauli";"Commentary; Bible";"Theology"
"Petrus Lombardus";"Glossa magistralis Psalterii";"Bible; Commentary";"Theology"
"Petrus Lombardus";"Sententiarum libri IV";"Bible; Commentary; Education";"Theology"
"Petrus de Bergamo";"Tabula operum Thomae Aquinatis. Ed: Ambrosius de Alemania";"Index";"theology-pastoral"
"Petrus de Harentals";"Collectarius super librum Psalmorum";"Bible; Commentary";"Theology"
"Platina, Bartholomaeus";"Vitae pontificum";"Biography; Religion";"History"
"Platina, Bartholomaeus";"Vitae pontificum";"Religion; Biography";"Ecclesiastical history"
"Plutarchus";"Vitae illustrium virorum [Latin]. Ed: J.A. Campanus. Add: Sextus Rufus: De historia Romana";"biography; history; collection; translation";"Literature-moral"
"Priscianus";"Opera. Ed: Benedictus Brognolus";"collection; Education";"Grammar"
"Prosper Aquitanus";"De Vita contemplativa. De Vita actuali";;"Literature-moral"
"Rainerius de Pisis";"Pantheologia, sive Summa universae theologiae. Ed: Jacobus Florentinus";"education?; encyclopaedia";"Theology"
"Rampigollis, Antonius and Bindo de Senis";"Aurea Biblia, sive Repertorium aureum Bibliorum";"Index; education";"Theology-biblical"
"Raymundus de Sabunde";"Theologia naturalis, sive liber creaturarum";"Theology-moral";"Philosophy"
"Reginaldetus, Petrus";"Speculum finalis retributionis (Ed: Guilhermus Totani and Petrus de Fontenay)";;"theology-pastoral"
"Rolewinck, Werner";"De venerabili sacramento et valore missarum";;"Theology-speculative"
"Rolewinck, Werner";"Fasciculus temporum";;"History"
"Rolewinck, Werner";"Fasciculus temporum";;"History"
